distancia_m,profundidad_mm,tipo_defecto,largo,ancho,latitud,longitud
5634.27,0.6985,Pitting,19,16,3.785710795,-71.49795558
5634.283,0.889,Pitting,22,32,3.785710808,-71.4979557
5634.355,0.889,Pitting,27,23,3.78571088,-71.49795638
5634.428,1.0795,General,41,51,3.785710954,-71.49795707
5634.57,0.635,General,36,35,3.785711097,-71.49795841
5634.586,0.8255,Pitting,26,22,3.785711113,-71.49795856
5634.681,0.6985,Axial Grooving,47,22,3.785711208,-71.49795945
5634.685,1.5875,General,41,36,3.785711212,-71.49795949
5634.815,0.6985,General,31,37,3.785711343,-71.49796071
5634.85,0.6985,Circumferential Grooving,23,51,3.785711378,-71.49796104
5634.915,1.4605,General,35,60,3.785711444,-71.49796165
5635.126,0.6985,Pitting,34,29,3.785711656,-71.49796364
5635.132,1.143,General,44,41,3.785711662,-71.4979637
5635.311,0.9525,Pitting,11,15,3.785711842,-71.49796538
5635.527,0.9525,Pitting,23,40,3.785712059,-71.49796741
5636.451,0.889,Circumferential Grooving,20,53,3.785712998,-71.49797611
5636.457,0.889,Axial Grooving,31,15,3.785713004,-71.49797616
5636.519,0.6985,General,33,72,3.78571307,-71.49797675
5636.536,0.8255,Pitting,25,15,3.785713088,-71.49797691
6564.839,0.762,Pitting,11,15,3.784390918,-71.50645412
6977.369,0.6985,Pitting,11,15,3.784555636,-71.51029949
7034.842,0.762,Pitting,11,15,3.784755475,-71.51079866
7125.555,0.8255,Pitting,13,15,3.784903414,-71.51164443
7416.135,0.635,Pitting,11,15,3.786386854,-71.51329692
7631.495,0.762,Pitting,12,15,3.788047625,-71.51437684
7833.377,1.0795,Pitting,13,15,3.789464461,-71.51554928
7836.245,0.635,Pitting,15,24,3.789491605,-71.51554968
7838.804,0.762,Pitting,11,15,3.789515824,-71.51555005
7846.812,0.6985,Pitting,12,17,3.78959156,-71.51555232
7847.408,0.8255,Axial Grooving,40,20,3.789597183,-71.51555278
8003.946,0.762,Pitting,10,15,3.790612887,-71.51657144
8247.295,0.8255,Pitting,26,24,3.792293504,-71.51807681
8247.466,0.9525,Pitting,17,18,3.79229458,-71.51807802
8247.881,0.635,Pitting,20,21,3.792297192,-71.51808095
8248.586,0.8255,General,45,42,3.792301629,-71.51808594
8248.948,0.8255,Pitting,23,15,3.792303907,-71.5180885
8249.891,0.762,Pitting,26,23,3.792309842,-71.51809516
8250.43,1.0795,General,45,37,3.792313234,-71.51809897
8250.91,1.3335,General,34,41,3.792316255,-71.51810237
8250.924,0.889,Pitting,27,15,3.792316343,-71.51810247
8251.131,1.27,Pitting,16,19,3.792317645,-71.51810393
8251.181,0.762,General,52,34,3.79231796,-71.51810428
8251.522,0.762,General,41,44,3.792320106,-71.51810669
8251.614,0.762,Pitting,25,26,3.792320685,-71.51810735
8251.781,0.635,Pitting,17,15,3.792321736,-71.51810853
8251.832,0.8255,Pitting,25,23,3.792322057,-71.51810889
8251.922,0.9525,Pitting,28,19,3.792322623,-71.51810952
8251.928,0.8255,General,35,57,3.792322661,-71.51810957
8252.269,0.889,Axial Grooving,37,15,3.792324832,-71.51811195
8252.52,1.3335,Pitting,20,37,3.792326433,-71.51811371
8252.705,0.6985,Pitting,18,18,3.792327613,-71.518115
8252.733,0.8255,Pitting,14,15,3.792327792,-71.5181152
8252.9,0.8255,Axial Grooving,45,15,3.792328857,-71.51811637
8252.917,1.143,Pitting,26,36,3.792328966,-71.51811649
8253.123,1.016,Pitting,14,21,3.79233028,-71.51811793
8253.279,0.889,General,42,31,3.792331275,-71.51811902
8253.3,0.762,General,41,34,3.792331409,-71.51811916
8253.452,0.762,Pitting,26,24,3.792332378,-71.51812023
8253.455,0.635,General,30,52,3.792332397,-71.51812025
8253.573,0.889,Pitting,22,27,3.79233315,-71.51812107
8253.646,0.889,General,35,34,3.792333616,-71.51812158
8254.177,0.762,Pitting,20,16,3.792337003,-71.5181253
8254.193,1.143,General,30,31,3.792337105,-71.51812541
8254.195,0.635,Axial Grooving,40,17,3.792337118,-71.51812542
8254.51,1.7145,Pitting,25,21,3.792339127,-71.51812763
8254.549,0.762,Pitting,16,15,3.792339376,-71.5181279
8254.598,0.762,General,52,37,3.792339688,-71.51812824
8254.615,1.2065,Axial Grooving,30,15,3.792339797,-71.51812836
8254.632,1.7145,Pitting,22,23,3.792339905,-71.51812848
8254.657,0.889,Pitting,16,29,3.792340065,-71.51812865
8255.141,0.6985,Pitting,28,53,3.792343152,-71.51813204
8255.222,1.4605,General,30,32,3.792343669,-71.5181326
8255.414,1.0795,Pitting,28,48,3.792344893,-71.51813395
8255.416,0.635,General,30,41,3.792344906,-71.51813396
