distancia_inicio_m,distancia_fin_m,lat,lon,diametro,espesor,SMYS,tasa_corrosion_mm_ano
998.166,1009.829,3.77740648,-71.45593042,460,6.35,42000,0.1
1009.829,1022.048,3.777459179,-71.45602742,460,6.35,42000,0.1
1022.048,1022.427,3.777514391,-71.45612905,460,6.35,42000,0.1
1022.427,1034.046,3.777516104,-71.4561322,460,6.35,42000,0.1
1034.046,1045.622,3.777568609,-71.45622884,460,6.35,42000,0.1
1045.622,1051.736,3.777620916,-71.45632512,460,6.35,42000,0.1
1051.736,1063.322,3.777648542,-71.45637597,460,6.35,42000,0.1
1063.322,1074.933,3.777700894,-71.45647234,460,6.35,42000,0.1
1074.933,1081.061,3.777753361,-71.45656891,460,6.35,42000,0.1
1081.061,1082.441,3.777781083,-71.45661986,460,6.35,42000,0.1
1082.441,1094.442,3.777787405,-71.45663129,460,6.35,42000,0.1
1094.442,1104.287,3.777843184,-71.45673024,460,6.35,42000,0.1
1104.287,1116.293,3.777890096,-71.45681076,460,6.35,42000,0.1
1116.293,1128.338,3.777947305,-71.45690895,460,6.35,42000,0.1
1128.338,1140.542,3.778004701,-71.45700746,460,6.35,42000,0.1
1140.542,1152.716,3.778062857,-71.45710727,460,6.35,42000,0.1
1152.716,1155.007,3.778120965,-71.45720677,460,6.35,42000,0.1
1155.007,1167.054,3.778131915,-71.45722549,460,6.35,42000,0.1
1167.054,1179.06,3.778189491,-71.45732392,460,6.35,42000,0.1
1179.06,1191.056,3.778246869,-71.45742201,460,6.35,42000,0.1
1191.056,1203.085,3.778303859,-71.45752022,460,6.35,42000,0.1
1203.085,1215.265,3.778360262,-71.45761913,460,6.35,42000,0.1
1215.265,1227.457,3.778417203,-71.45771937,460,6.35,42000,0.1
1227.457,1239.693,3.778474201,-71.45781972,460,6.35,42000,0.1
1239.693,1251.95,3.778531405,-71.45792042,460,6.35,42000,0.1
1251.95,1264.167,3.778588713,-71.4580213,460,6.35,42000,0.1
1264.167,1276.363,3.778648418,-71.45812022,460,6.35,42000,0.1
1276.363,1288.54,3.778714774,-71.45821468,460,6.35,42000,0.1
1288.54,1300.743,3.778781065,-71.45830897,460,6.35,42000,0.1
1300.743,1312.97,3.778848018,-71.45840309,460,6.35,42000,0.1
1312.97,1325.213,3.778917692,-71.45849549,460,6.35,42000,0.1
1325.213,1337.45,3.778980161,-71.45859274,460,6.35,42000,0.1
1337.45,1349.656,3.779027699,-71.45869803,460,6.35,42000,0.1
1349.656,1361.848,3.779049064,-71.45881156,460,6.35,42000,0.1
1361.848,1373.857,3.779072111,-71.45892464,460,6.35,42000,0.1
1373.857,1386.085,3.779094814,-71.45903602,460,6.35,42000,0.1
1386.085,1395.948,3.779117467,-71.45914953,460,6.35,42000,0.1
1395.948,1407.955,3.779135445,-71.45924114,460,6.35,42000,0.1
1407.955,1419.972,3.779157331,-71.45935266,460,6.35,42000,0.1
1419.972,1432.155,3.779179236,-71.45946428,460,6.35,42000,0.1
1432.155,1444.361,3.779201444,-71.45957744,460,6.35,42000,0.1
1444.361,1456.535,3.779223693,-71.45969081,460,6.35,42000,0.1
1456.535,1468.733,3.779246164,-71.45980383,460,6.35,42000,0.1
1468.733,1480.927,3.779269188,-71.45991697,460,6.35,42000,0.1
1480.927,1492.717,3.779292294,-71.46003005,460,6.35,42000,0.1
1492.717,1504.752,3.779314633,-71.46013939,460,6.35,42000,0.1
1504.752,1516.747,3.779337437,-71.460251,460,6.35,42000,0.1
1516.747,1528.746,3.779360165,-71.46036224,460,6.35,42000,0.1
1528.746,1540.752,3.779382887,-71.46047352,460,6.35,42000,0.1
1540.752,1552.024,3.779405552,-71.46058488,460,6.35,42000,0.1
1552.024,1564.051,3.779426793,-71.46068944,460,6.35,42000,0.1
1564.051,1576.042,3.779449064,-71.46080108,460,6.35,42000,0.1
